[08/14 01:49:20] Training INFO: Making the model...
[08/14 01:49:23] Training INFO: The parameters of the model are added to the AdamW optimizer.
[08/14 01:49:23] Training INFO: The learning rate schedule for the optimizer has been set to CosineAnnealingLR.
[08/14 01:49:23] Training INFO: The model is made successfully.
[08/14 01:52:03] Training INFO: [Epoch 0/50][Batch 340/2035][lr 0.000300][loss_coord_0: 0.2253][loss_normal_0: 0.0333][loss_edge_0: 0.0295][loss_coord_1: 0.2326][loss_normal_1: 0.0341][loss_edge_1: 0.0250]
[08/14 01:52:07] Training INFO: [Epoch 0/50][Batch 350/2035][lr 0.000300][loss_coord_0: 0.2218][loss_normal_0: 0.0338][loss_edge_0: 0.0288][loss_coord_1: 0.2276][loss_normal_1: 0.0343][loss_edge_1: 0.0303]
[08/14 01:52:11] Training INFO: [Epoch 0/50][Batch 360/2035][lr 0.000300][loss_coord_0: 0.2240][loss_normal_0: 0.0338][loss_edge_0: 0.0353][loss_coord_1: 0.2508][loss_normal_1: 0.0475][loss_edge_1: 0.0572]
[08/14 01:52:14] Training INFO: [Epoch 0/50][Batch 370/2035][lr 0.000300][loss_coord_0: 0.2295][loss_normal_0: 0.0338][loss_edge_0: 0.0312][loss_coord_1: 0.2331][loss_normal_1: 0.0340][loss_edge_1: 0.0367]
[08/14 01:52:18] Training INFO: [Epoch 0/50][Batch 380/2035][lr 0.000300][loss_coord_0: 0.2310][loss_normal_0: 0.0321][loss_edge_0: 0.0293][loss_coord_1: 0.2356][loss_normal_1: 0.0331][loss_edge_1: 0.0303]
[08/14 01:52:22] Training INFO: [Epoch 0/50][Batch 390/2035][lr 0.000300][loss_coord_0: 0.2183][loss_normal_0: 0.0325][loss_edge_0: 0.0287][loss_coord_1: 0.2274][loss_normal_1: 0.0332][loss_edge_1: 0.0396]
[08/14 01:52:25] Training INFO: [Epoch 0/50][Batch 400/2035][lr 0.000300][loss_coord_0: 0.2193][loss_normal_0: 0.0327][loss_edge_0: 0.0285][loss_coord_1: 0.2306][loss_normal_1: 0.0337][loss_edge_1: 0.0311]
[08/14 01:52:29] Training INFO: [Epoch 0/50][Batch 410/2035][lr 0.000300][loss_coord_0: 0.2032][loss_normal_0: 0.0312][loss_edge_0: 0.0313][loss_coord_1: 0.2225][loss_normal_1: 0.0329][loss_edge_1: 0.0313]
[08/14 01:52:33] Training INFO: [Epoch 0/50][Batch 420/2035][lr 0.000300][loss_coord_0: 0.1922][loss_normal_0: 0.0324][loss_edge_0: 0.0331][loss_coord_1: 0.2111][loss_normal_1: 0.0346][loss_edge_1: 0.0448]
[08/14 01:52:36] Training INFO: [Epoch 0/50][Batch 430/2035][lr 0.000300][loss_coord_0: 0.1889][loss_normal_0: 0.0321][loss_edge_0: 0.0348][loss_coord_1: 0.2135][loss_normal_1: 0.0333][loss_edge_1: 0.0285]
[08/14 01:52:40] Training INFO: [Epoch 0/50][Batch 440/2035][lr 0.000300][loss_coord_0: 0.1987][loss_normal_0: 0.0320][loss_edge_0: 0.0328][loss_coord_1: 0.2164][loss_normal_1: 0.0325][loss_edge_1: 0.0286]
[08/14 01:52:44] Training INFO: [Epoch 0/50][Batch 450/2035][lr 0.000300][loss_coord_0: 0.1965][loss_normal_0: 0.0324][loss_edge_0: 0.0330][loss_coord_1: 0.2122][loss_normal_1: 0.0328][loss_edge_1: 0.0310]
[08/14 01:52:47] Training INFO: [Epoch 0/50][Batch 460/2035][lr 0.000300][loss_coord_0: 0.1831][loss_normal_0: 0.0320][loss_edge_0: 0.0329][loss_coord_1: 0.2061][loss_normal_1: 0.0329][loss_edge_1: 0.0319]
[08/14 01:52:51] Training INFO: [Epoch 0/50][Batch 470/2035][lr 0.000300][loss_coord_0: 0.1861][loss_normal_0: 0.0310][loss_edge_0: 0.0329][loss_coord_1: 0.2101][loss_normal_1: 0.0341][loss_edge_1: 0.0500]
[08/14 01:52:55] Training INFO: [Epoch 0/50][Batch 480/2035][lr 0.000300][loss_coord_0: 0.1851][loss_normal_0: 0.0298][loss_edge_0: 0.0329][loss_coord_1: 0.2067][loss_normal_1: 0.0315][loss_edge_1: 0.0312]
[08/14 01:52:58] Training INFO: [Epoch 0/50][Batch 490/2035][lr 0.000300][loss_coord_0: 0.1918][loss_normal_0: 0.0309][loss_edge_0: 0.0323][loss_coord_1: 0.2080][loss_normal_1: 0.0325][loss_edge_1: 0.0328]
[08/14 01:53:02] Training INFO: [Epoch 0/50][Batch 500/2035][lr 0.000300][loss_coord_0: 0.1889][loss_normal_0: 0.0305][loss_edge_0: 0.0320][loss_coord_1: 0.1972][loss_normal_1: 0.0313][loss_edge_1: 0.0338]
